frame,visible,score,x,y
183,1,13.900879,845.4039764404297,225.52759170532227
184,1,11.468262,837.0025634765625,230.09675979614258
185,1,15.154785,829.4858551025391,227.9418182373047
186,1,13.168457,820.1137542724609,222.14570999145508
187,0,-inf,-inf,-inf
188,0,-inf,-inf,-inf
189,0,-inf,-inf,-inf
190,0,-inf,-inf,-inf
191,0,-inf,-inf,-inf
192,0,-inf,-inf,-inf
193,0,-inf,-inf,-inf
194,0,-inf,-inf,-inf
195,1,0.5024414,670.0,17.5
196,1,9.63916,671.3711547851562,20.42513132095337
197,1,14.039551,673.9010620117188,26.59000873565674
198,1,5.4848633,676.1853790283203,30.550832748413086
199,0,-inf,-inf,-inf
200,0,-inf,-inf,-inf
201,1,10.744141,676.2307739257812,38.668763637542725
202,1,0.5019531,680.0,37.5
203,0,-inf,-inf,-inf
204,1,6.54834,1119.1937255859375,39.2146372795105
205,0,-inf,-inf,-inf
206,0,-inf,-inf,-inf
207,0,-inf,-inf,-inf
208,0,-inf,-inf,-inf
209,0,-inf,-inf,-inf
210,0,-inf,-inf,-inf
211,0,-inf,-inf,-inf
212,0,-inf,-inf,-inf
213,0,-inf,-inf,-inf
214,0,-inf,-inf,-inf
215,0,-inf,-inf,-inf
216,1,15.902344,850.982666015625,250.69400787353516
217,0,-inf,-inf,-inf
218,1,5.654785,834.8085021972656,299.76383209228516
219,1,6.7631836,823.7522888183594,308.8233757019043
220,1,8.321777,822.5828552246094,269.7787857055664
221,1,2.03125,811.2560272216797,271.2584114074707
222,0,-inf,-inf,-inf
223,0,-inf,-inf,-inf
224,0,-inf,-inf,-inf
225,0,-inf,-inf,-inf
226,0,-inf,-inf,-inf
227,0,-inf,-inf,-inf
228,0,-inf,-inf,-inf
229,0,-inf,-inf,-inf
230,0,-inf,-inf,-inf
231,0,-inf,-inf,-inf
232,0,-inf,-inf,-inf
233,0,-inf,-inf,-inf
234,0,-inf,-inf,-inf
235,0,-inf,-inf,-inf
236,0,-inf,-inf,-inf
237,0,-inf,-inf,-inf
238,0,-inf,-inf,-inf
239,0,-inf,-inf,-inf
240,0,-inf,-inf,-inf
241,0,-inf,-inf,-inf
242,0,-inf,-inf,-inf
243,0,-inf,-inf,-inf
244,0,-inf,-inf,-inf
245,1,0.5048828,772.5,280.0
246,0,-inf,-inf,-inf
247,0,-inf,-inf,-inf
248,1,3.2631836,832.9328155517578,684.5705413818359
249,0,-inf,-inf,-inf
250,1,6.8476562,756.2134552001953,263.29612731933594
251,0,-inf,-inf,-inf
252,0,-inf,-inf,-inf
253,0,-inf,-inf,-inf
254,0,-inf,-inf,-inf
255,0,-inf,-inf,-inf
256,0,-inf,-inf,-inf
257,1,0.52001953,697.5,230.0
258,0,-inf,-inf,-inf
259,0,-inf,-inf,-inf
260,0,-inf,-inf,-inf
